CH1_mean,CH1_median,CH1_std,CH1_var,CH1_range,CH1_skewness,CH1_kurtosis,CH1_min,CH1_max,CH1_abs_mean,CH1_q25,CH1_q75,CH1_iqr,CH2_mean,CH2_median,CH2_std,CH2_var,CH2_range,CH2_skewness,CH2_kurtosis,CH2_min,CH2_max,CH2_abs_mean,CH2_q25,CH2_q75,CH2_iqr,CH1_spectral_energy,CH1_spectral_mean,CH1_spectral_std,CH1_dominant_freq,CH1_dominant_power,CH1_low_freq_power,CH1_mid_freq_power,CH1_high_freq_power,CH1_spectral_centroid,CH2_spectral_energy,CH2_spectral_mean,CH2_spectral_std,CH2_dominant_freq,CH2_dominant_power,CH2_low_freq_power,CH2_mid_freq_power,CH2_high_freq_power,CH2_spectral_centroid,CH1_rms,CH2_rms,CH1_crest_factor,CH2_crest_factor,CH1_zcr,CH2_zcr,CH1_envelope_mean,CH2_envelope_mean,CH1_envelope_std,CH2_envelope_std,cross_correlation,CH_diff_mean,CH_diff_std,CH_diff_max,rms_ratio,energy_ratio,infrastructure_type,source_dataset,source_folder
0.12564396020264906,0.0839284624305683,2.031365007244736,4.1264437926584066,14.30598791430141,0.10804358045941669,-0.14457467176249583,-6.46249160715376,7.84349630714765,1.6339223585423914,-1.262741866569,1.51071232375023,2.77345419031923,2.098959287065861,2.22982664957578,2.511023458752528,6.305238810405509,24.2667704327657,-0.26554784474397863,0.7251941135455238,-10.6322102179088,13.6345602148569,2.7148095586888847,0.549349935909174,3.75770615882317,3.208356222913996,20173071.75408813,37.150242782966295,81.78684590324971,185.3,1350.5977146102286,2791249.347570391,5629767.847905147,11752054.558612593,117.10491328730025,64432821.21269555,48.72024810656155,152.96883966845436,0.0,5241.865239211299,45695565.124288395,17663865.573294725,1073390.5151124145,67.33162580083058,2.035246962261291,3.272746384791455,3.8538302489015965,4.166091292077225,0.511,0.1458,2.5531441980438196,3.6833482841743725,1.3229237303369241,1.8571621527969504,-0.2577925793268681,-1.9733153268632115,3.6140810802190484,16.675059512909712,0.6218773846085787,0.38673148148760605,Normal Track,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.12600256363303428,0.1468748092534945,2.0650524599525486,4.264441662356073,13.15006409082585,-0.045624080258381196,-0.05286761315728672,-6.34041384361838,6.80965024720747,1.6554034670084845,-1.27037172678997,1.54695415979979,2.81732588658976,2.092163370567051,2.10202649087469,2.6052262935294364,6.787204040497126,26.6625465421474,-0.15359226982374347,1.406050661845831,-12.3107794665202,14.3517670756272,2.6919970396142343,0.517876762497711,3.68999114936214,3.172114386864429,20199574.565034516,36.35860955488815,82.20633392415088,185.3,1607.197998098858,2766063.3953674436,4469166.676971716,12964344.492695354,117.08964508820023,68521753.83554862,49.50786258231633,157.97997682222243,0.0,5242.766827637485,49393159.79529191,18216347.426294196,912246.6139625328,65.21526311476303,2.068893015213249,3.3413098643555363,3.2914462938073057,4.295251760014581,0.532,0.1472,2.5867046201384643,3.686486705283294,1.3615132104151255,2.088389578916995,-0.2368953817528354,-1.966160806934017,3.6878999925904647,15.75184642617349,0.619186217143106,0.3833915714999897,RailJoint,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.13201336751510714,0.12780015870109251,1.937762452596319,3.7549233226921017,13.512482451321489,0.0039496173466134704,0.042252542503096624,-6.49682597814808,7.01565647317341,1.5440349752792528,-1.17881340413844,1.42296893120918,2.60178233534762,2.092274766526277,2.25653116034914,2.5284627931724315,6.393124096457334,19.07846548251237,-0.3601361742058654,0.46196095772313095,-8.24787889885857,10.8305865836538,2.7357512360373555,0.579869376793017,3.77391961179271,3.1940502349996933,17718093.98194889,34.90913732993571,76.60672113893953,185.4,1263.288996543139,3774874.954752508,5504533.111360251,8438685.915836131,112.19556041419476,65413158.18956255,45.59755489909889,155.19705623190373,0.0,5233.976926017641,44350131.981850125,20156368.63508926,906657.5726231735,66.52650975751263,1.9422540647131572,3.2818802225401096,3.6121208860538645,3.3001163507640574,0.4838,0.1408,2.4302399580757896,3.718151017181245,1.273266332525888,1.827351877969755,-0.29108601352416685,-1.96026139901117,3.6056115083764024,12.99746688640664,0.5918113803708203,0.35024070993641576,Normal Track,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.1262688457547457,0.11254043825917101,2.1972482541567935,4.827899890395076,15.732771775621071,0.053207467111091325,0.0050282861727430905,-7.47344808643106,8.25932368919001,1.7489692058841484,-1.3399942013062298,1.6108542391503402,2.95084844045657,2.09701519868156,2.0428950741622396,2.6000680045356717,6.760353628210109,26.536653848501523,0.08545381980217201,0.968318449033855,-9.71662699139352,16.820026857108,2.690017090886895,0.465421473478606,3.73863150827077,3.273210034792164,24202242.043665916,36.15724788054379,91.50710487809829,185.5,2095.215738564163,4011383.252540323,4154298.2034498313,16036560.58767576,117.43076200034245,67577926.18062653,45.903688794689614,157.87343610402257,0.0,5231.0410182817095,48511907.86564554,18048290.996909693,1017727.3180712971,66.80252507577849,2.2008733974954833,3.340333272551045,3.7527482037762057,5.035433738101942,0.528,0.1532,2.7427847109297963,3.7060723170452374,1.4659039283288577,2.0452891262700907,-0.26321115361920044,-1.970746352926814,3.820432104683972,20.8638527742172,0.6588783866511184,0.4341207283959808,RailJoint,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.13170359519013614,0.148782274308735,1.8378067210674645,3.3775335440007455,12.8296099615455,0.004425105887618411,-0.04958080772311391,-6.40145272538607,6.42815723615943,1.4728361716413354,-1.10251480192883,1.35906885185863,2.46158365378746,2.1012337483977297,2.26988341573582,2.653884356476313,7.043102177549695,23.8967222120491,-0.35678692752067614,1.076001390991916,-10.5406518952573,13.3560703167918,2.803722608801807,0.60943508514924,3.75770615882317,3.14827107367393,15872703.316057969,33.747704802743655,72.18153328220494,185.60000000000002,1307.6696091875538,3831526.2262602733,3745133.6652320214,8296043.424565671,113.09007960660952,72484765.39184676,48.29447218773325,163.28364925137782,0.0,5237.7551284290275,49388309.29489353,22361789.209955394,734666.8869978418,65.70087496880376,1.8425198454797584,3.3850089280466116,3.4887858884828757,3.9456529068888435,0.509,0.132,2.3044267496040622,3.8087873746055134,1.2091443861549096,1.998631022264794,-0.2640697364351628,-1.969530153207593,3.6050720342477782,17.22822437892938,0.5443175733492148,0.2962816206567779,RailJoint,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.12663889397546232,0.118262833424892,2.184083590653145,4.770221130960334,15.49624610877128,0.0840657113571478,0.0879362321831132,-7.43529878532625,8.06094732344503,1.7268967832509305,-1.30852102789477,1.51071232375023,2.819233351645,2.0932956418238415,2.05624732954892,2.34717675855192,5.509238735886299,18.31547946041625,-0.09307915425214801,0.43565005426348913,-7.99990844167735,10.3155710187389,2.564535646706952,0.591314167124458,3.64421198803638,3.052897820911922,22918945.995906442,39.6971207411605,87.13045967527258,185.3,1417.29804207364,3032321.5144889513,4418881.096022198,15467743.385395294,121.24086859148812,59213287.284000106,45.018466190754346,147.16878954259272,0.0,5242.444964440978,44948786.14854187,13034796.486475054,1229704.6489831754,70.72669906027306,2.18775193758974,3.145015958618491,3.6845801322090592,3.279974141457207,0.55,0.1448,2.7138679204092893,3.4683894996813383,1.4803376726908257,1.835929567113505,-0.23668535774611546,-1.9666567478483798,3.564570355423213,13.16150888115726,0.695625067209755,0.48389423413057625,Turnout,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.12321461270829516,0.122077763535372,1.7384009889053977,3.0220379982272645,12.39852285906122,-0.0013289522372055289,0.03926409045887036,-6.41671244582799,5.98181041323323,1.3908395898187145,-1.06436550082402,1.28944637734237,2.35381187816639,2.103029817493743,2.2164743941891,2.295553209308631,5.269564536767154,19.013611670634162,-0.2147690528312485,0.7339648626909843,-8.52255386681316,10.491057803821,2.5958287554172004,0.7353277787950927,3.54025514252579,2.8049273637306973,13933617.568411354,36.37654559844992,65.19351162261805,6.0,850.7739169140597,1797287.81341393,2916047.0550064547,9220282.699990971,124.40698117002793,60190703.3561682,44.391433574692215,148.67979677027733,0.0,5244.711190186779,43443704.853355296,16090179.287948357,656819.2148645337,69.83774138734947,1.7427621292110176,3.1132457259321695,3.681920979504507,3.3698136052783827,0.543,0.1248,2.1779181177029336,3.450110103828141,1.1471400217224663,1.7488863939837027,-0.17036316759987238,-1.979815204785448,3.1066545208502725,11.91021180491974,0.5597894553245388,0.3133642342925438,Turnout,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.12944973448086433,0.1354300189220535,1.7143562533989611,2.9390173635681234,12.1314777513276,0.10070886161655149,0.12573979114973,-5.12345113837515,7.00802661295245,1.3611380699505584,-1.02240126960874,1.2484358786546998,2.27083714826344,2.095560947323445,2.12110114142709,2.4132498692819526,5.8237749315893605,33.640053714216,-0.20238536101352952,3.587272796566004,-15.5534700604285,18.0865836537875,2.5960660440700725,0.7162531282426907,3.54120887505341,2.824955746810719,12790533.693516174,36.73823687509289,61.37194333501291,5.9,840.0714730669679,2277610.584968211,2554547.9990586564,7958375.109489308,123.58771888214265,65566863.43513228,51.193689151162374,153.6422844309049,0.0,5237.623739424173,45337864.07819174,19678378.42800144,550620.9289391001,66.42332474017904,1.7192366321496555,3.196114925270444,4.076243189507852,5.658927816013086,0.5062,0.1284,2.136417637780126,3.473239742490605,1.1534779446050623,1.9938733410849108,-0.16675813644155538,-1.9661112128425808,3.184745800737429,20.05508759079537,0.5379145219579924,0.2893520329332955,Normal Track,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.1280275285356772,0.141152414087774,1.567757108477899,2.4578623511829827,11.97888054690838,-0.07957554804973117,0.06009906354626571,-5.9093267411341,6.06955380577428,1.2488372093023257,-0.901277238600989,1.19884178721846,2.100119025819449,2.1031984374046266,2.1878624183605,2.3813067541341915,5.670621857285119,19.37984496124033,-0.17845883788890263,0.8906926373703481,-7.61460050051883,11.7652444607215,2.628373924189709,0.740096441433193,3.51736556186291,2.777269120429717,10919464.051106198,34.72393074760136,56.23196825541735,5.9,1014.9494473760469,2363319.145688904,2565586.1312733656,5990558.774143929,118.54282026354882,61430627.10350106,46.603540965299224,149.66750085070603,0.0,5239.517369469106,43835272.91181768,17110904.38667194,484449.8050114283,66.93612031411264,1.5729759690618088,3.177115912960429,3.8586436952335803,3.7031209383099504,0.4936,0.1224,1.9658054722341018,3.50320870380516,1.033307596494486,1.8687469846896578,-0.15681394175922292,-1.9751709088689495,3.04948430193075,14.31743270463287,0.49509555589242366,0.24511960946442798,Normal Track,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
0.13133888787157422,0.133522553866813,1.8893742506904594,3.569735059172135,14.62262711347128,-0.03819937630986166,0.15787368579996786,-7.35137032289568,7.2712567905756,1.499888604040774,-1.11395959226027,1.38195843252152,2.49591802478179,2.090244460721479,2.18214002319477,2.4188270158486764,5.850724132599413,18.25825550875906,-0.252697988713588,0.48807471442471106,-7.76338277482756,10.4948727339315,2.65475035097357,0.659982909113105,3.62418360495636,2.964200695843255,18098661.949077114,40.72496254743599,74.70570396656993,59.1,1070.1182145044538,2480803.433162639,5978090.63530604,9639767.880608436,119.36410677353012,63100565.130305484,46.917764533308414,151.78586700783188,0.0,5240.933481143463,45010969.36226961,17522151.78374271,567443.9842931437,67.9159673527443,1.893933727098041,3.1968493924763237,3.881535144400082,3.2828799375506477,0.5226,0.1336,2.359514678510238,3.570456580493925,1.2607177338055429,1.822747431442094,-0.13925189773314792,-1.9589055728499054,3.270052123081313,13.20728804248306,0.5924375829387989,0.3509822896783662,Normal Track,SL_labeled_segments_Borlänge-Mora_Route_(60.48°N_15.00°E)_2024-12-10_16-00-00_1.csv,2024-12-10 16-00-00 (1)
